CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
montreal;Urban;;;;;;;;x
ottawa;Urban;;;;;;;;x
vancouver;Montane Urban;;;;;;;;x
losangeles;Urban Hills;;;;;;;;x
atlanta;Montane Urban;;;;;;;;x
philadelphia;Urban;;;;;;;;x
cleveland;Forest;;;;;;;;x
detroit;Urban;;;;;;;;x
pittsburgh;Urban Hills;;;;;;;;x
richmond;Urban;;;;;;;;x
neworleans;Urban;;;;;;;;x
austin;Urban;;;;;;;;x
caen;Urban;;;;;;;;x
lille;Urban;;;;;;;;x
toronto;Urban;;;;;;;;x
bogota;Urban;;;;;;;;x
caracas;Urban;;;;;;;;x
rio;Urban Hills;;;;;;;;x
saopaulo;Urban Hills;;;;;;;;x
montevideo;Grassland;;;;;;;;x
buenosaires;Urban;;;;;;;;x
santiago;Montane Urban;;;;;;;;x
#asuncion;Urban;;;;;;;;x
#lima;Urban Hills;;;;;;;;x
quito;Montane Urban;;;;;;;;x
#guantanamo;Montane Urban;;;;;;;;x
lapaz;Montane Urban;;;;;;;;x
havana;Urban Hills;;;;;;;;x
capetown;Montane Urban;;;;;;;;x
zanzibar;Urban Port;;;;;;;;x
calcutta;Urban;;;;;;;;x
pondicherry;Urban Port;;;;;;;;x
bombay;Urban;;;;;;;;x
delhi;Urban;;;;;;;;x
madras;Urban Hills;;;;;;;;x
goa;Urban Port;;;;;;;;x
lahore;Urban;;;;;;;;x
bangkok;Jungle;;;;;;;;x
saigon;Urban Hills;;;;;;;;x
hue;Farmland;;;;;;;;x
singapore;Urban Port;;;;;;;;x
batavia;Urban;;;;;;;;x
sydney;Urban Hills;;;;;;;;x
melbourne;Urban;;;;;;;;x
perth;Forest;;;;;;;;x
auckland;Forest;;;;;;;;x
manila;Jungle;;;;;;;;x
kwangchowan;Urban;;;;;;;;x
hainan;Urban;;;;;;;;x
ningbo;Urban Port;;;;;;;;x
qingdao;Urban Port;;;;;;;;x
weihaiwei;Urban Port;;;;;;;;x
oldtianjin;Urban Port;;;;;;;;x
portarthur;Urban Port;;;;;;;;x
kyoto;Urban Hills;;;;;;;;x
tashkent;Urban;;;;;;;;x
samarkand;Dry Urban Hills;;;;;;;;x
isfahan;Montane Urban;;;;;;;;x
alexandria;Urban;;;;;;;;x
tirana;Urban Hills;;;;;;;;x
ljubljana;Urban Hills;;;;;;;;x
bratislava;Urban Hills;;;;;;;;x
#cluj;Urban;;;;;;;;x
#cetinje;Urban;;;;;;;;x
malta;Island;;;;;;;;x
tunis;Urban;;;;;;;;x
florence;Urban;;;;;;;;x
danzig;Urban Port;;;;;;;;x
nanjing;Farmland;;;;;;;;x
mukden;Grassland;;;;;;;;x
yokohama;Urban;;;;;;;;x
kobe;Forest;;;;;;;;x
osaka;Urban;;;;;;;;x
#wuchang;Urban;;;;;;;;x
xian;Forest;;;;;;;;x
pyongyang;Urban;;;;;;;;x
pusan;Urban;;;;;;;;x
mecca;Semidesert;;;;;;;;x
aden;Montane Urban;;;;;;;;x
#muscat;Urban;;;;;;;;x
lodz;Forest;;;;;;;;x
genoa;Urban Hills;;;;;;;;x
rostov;Steppe;;;;;;;;x
vladivostok;Urban Hills;;;;;;;;x
duluth;Urban Port;;;;;;;;x
sevastopol;Urban Port;;;;;;;;x
nikolaev;Urban;;;;;;;;x
kerch;Montane Urban;;;;;;;;x
kharkov;Steppe;;;;;;;;x
saratov;Steppe;;;;;;;;x
#chisinau;Urban;;;;;;;;x
kazan;Forest;;;;;;;;x
antwerp;Farmland;;;;;;;;x
ekaterinburg;Forest;;;;;;;;x
irkutsk;Forest;;;;;;;;x
omsk;Forest;;;;;;;;x
sarajevo;Urban Hills;;;;;;;;x
timbuktu;Semidesert;;;;;;;;x
palermo;Urban Hills;;;;;;;;x
lhasa;Urban;;;;;;;;x
#xining;Urban;;;;;;;;x
kashgar;Desert;;;;;;;;x
agra;Forest;;;;;;;;x
katmandu;Montane Urban;;;;;;;;x
colombo;Urban;;;;;;;;x
gonder;Urban Hills;;;;;;;;x
capecoast;Urban;;;;;;;;x
grandbassam;Urban;;;;;;;;x
monrovia;Urban;;;;;;;;x
stlouis;Forest;;;;;;;;x
#bissau;Urban;;;;;;;;x
#lagos;Urban;;;;;;;;x
suez;Canal;;;;;;;;x
valencia;Urban;;;;;;;;x
rotterdam;Marsh;;;;;;;;x
hyderabad;Urban Hills;;;;;;;;x
nagpur;Urban;;;;;;;;x
jaipur;Urban;;;;;;;;x
karachi;Urban Hills;;;;;;;;x
hanoi;Urban Hills;;;;;;;;x
dunkirk;Urban Port;;;;;;;;x
brest;Urban Port;;;;;;;;x
toulon;Urban Port;;;;;;;;x
larochelle;Urban;;;;;;;;x
hanoi;Urban Hills;;;;;;;;x
trieste;Urban;;;;;;;;x
pola;Urban Hills;;;;;;;;x
wilhelmshaven;Urban Port;;;;;;;;x
nice;Urban Hills;;;;;;;;x
quebec;Forest;;;;;;;;x
fort_william;Urban;;;;;;;;x
panama;Canal;;;;;;;;x
tripoli;Urban;;;;;;;;x
essen;Urban;;;;;;;;x
zadar;Urban;;;;;;;;x
dubrovnik;Urban;;;;;;;;x
sanmarino;Urban Hills;;;;;;;;x
plymouth;Urban;;;;;;;;x
portsmouth;Urban;;;;;;;;x
liege;Mining District;;;;;;;;x
namur;Urban;;;;;;;;x
